elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
22839,cs_resurf,2023,925,"OGPA, function: R, on date: 2023-11-15",committed-16_3980_2393_L1
22840,cs_resurf,2023,925,"OGPA, function: R, on date: 2023-11-15",committed-16_3980_2393_L2
22841,cs_resurf,2023,815,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_0_R1
22842,cs_resurf,2023,815,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_0_R2
22843,cs_resurf,2023,1250,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_163_R1
22844,cs_resurf,2023,1250,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_163_R2
22845,cs_resurf,2023,3405,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_413_R1
22846,cs_resurf,2023,3405,"OGPA, function: R, on date: 2023-12-13",committed-16_3982_413_R2
22851,cs_resurf,2023,900,"OGPA, function: R, on date: 2023-09-05",committed-16_3982_2398_R1
22852,cs_resurf,2023,900,"OGPA, function: R, on date: 2023-09-05",committed-16_3982_2398_R2
22865,ac_resurf,2023,296,"SMA, function: R, on date: 2023-02-28",committed-16_3996_5075_All
22877,cs_resurf,2023,3250,"2CHIP, function: R, on date: 2023-11-09",committed-16_3996_7265_All
22878,cs_resurf,2023,11765,"2CHIP, function: R, on date: 2023-11-09",committed-16_3996_7515_All
22879,cs_resurf,2023,29775,"2CHIP, function: R, on date: 2023-11-09",committed-16_3996_8420_All
22880,cs_resurf,2023,6630,"2CHIP, function: R, on date: 2023-11-10",committed-16_3996_10405_All
22881,cs_resurf,2023,2710.5,"2CHIP, function: R, on date: 2023-11-10",committed-16_3996_10915_L1
22882,cs_resurf,2023,2710.5,"2CHIP, function: R, on date: 2023-11-10",committed-16_3996_10915_R1
22929,cs_resurf,2023,4352,"2CHIP, function: R, on date: 2023-01-31",committed-16_4004_6301_All
22955,cs_resurf,2023,1665,"2CHIP, function: R, on date: 2023-05-14",committed-16_4099_8605_All
22970,ac_resurf,2023,940,"ACM, function: 2, on date: 2023-05-15",committed-16_4099_11965_L1
22971,ac_resurf,2023,600,"ACM, function: 2, on date: 2023-05-15",committed-16_4099_12050_R1
22979,ac_resurf,2023,2310,"AC, function: R, on date: 2023-02-23",committed-16_4099_15096_All
22980,ac_resurf,2023,1140,"ACM, function: R, on date: 2023-02-22",committed-16_4099_15327_All
23005,ac_rehab,2023,1201.5,"ACM, function: 1, on date: 2023-05-15",committed-16_4100_5511_All
23017,cs_resurf,2023,4296,"OGPA, function: R, on date: 2023-11-24",committed-16_4112_3568_All
23032,cs_resurf,2023,2279.5,"2CHIP, function: R, on date: 2024-01-19",committed-17_486_195_All
23039,cs_resurf,2023,2590,"2CHIP, function: R, on date: 2023-01-20",committed-17_486_1818_All
23052,cs_resurf,2023,1871.8,"2CHIP, function: R, on date: 2023-03-27",committed-17_486_4690_All
23056,cs_resurf,2023,3734.5,"2CHIP, function: R, on date: 2023-03-27",committed-17_486_6592_All
23058,cs_resurf,2023,4044.9,"2CHIP, function: R, on date: 2023-03-30",committed-17_486_7038_All
23079,ac_resurf,2023,1742,"ACM, function: R, on date: 2023-10-18",committed-17_488_750_All
23090,cs_resurf,2023,5029.2,"COMB, function: R, on date: 2023-01-12",committed-17_488_3429_All
23092,cs_resurf,2023,3831.3,"2CHIP, function: R, on date: 2024-01-26",committed-17_488_4293_All
23094,ac_resurf,2023,475,"ACM, function: R, on date: 2023-10-06",committed-17_488_5092_All
23099,cs_resurf,2023,3192,"2CHIP, function: R, on date: 2023-01-12",committed-17_488_6170_All
23100,cs_resurf,2023,6130.2,"1CHIP, function: R, on date: 2023-01-12",committed-17_488_6450_All
23104,cs_resurf,2023,13206,"2CHIP, function: R, on date: 2023-01-10",committed-17_488_7550_All
23115,ac_resurf,2023,3822,"ACM, function: R, on date: 2023-02-02",committed-17_488_12880_All
23116,ac_resurf,2023,819,"ACM, function: R, on date: 2023-10-04",committed-17_488_13300_All
23132,cs_resurf,2023,3737.5,"1CHIP, function: R, on date: 2023-01-13",committed-17_491_3913_All
23133,cs_resurf,2023,3484.5,"1CHIP, function: R, on date: 2023-01-16",committed-17_491_4238_All
